"","means","medians","sds"
"1",0.308167801345962,0.301384186386382,0.16732972369111
"2",0.119571402878203,0.101319572572318,0.0890238818372473
"3",0.460808927421455,0.46127356403056,0.198397544588788
"4",0.0830554814733764,0.0666291549654487,0.0684804582470173
"5",0.204049759341882,0.189968119679063,0.12474533187325
"6",0.111549437781374,0.0930617684241897,0.0830592261051695
"7",0.360986350313888,0.354832997165839,0.191067667860098
"8",0.110141148480824,0.0896877588657727,0.0878187500960612
"9",0.137631001539411,0.117650535362259,0.101022349119221
"10",0.480405610141483,0.494760407921681,0.19916080846572
"11",0.178368361914711,0.167000102785646,0.111439076650738
"12",0.428936622582108,0.434714471304926,0.186669093175018
"13",0.177833573205485,0.161338280833738,0.118778769385391
"14",0.402364308982033,0.397509650240864,0.2051022881293
"15",0.191734291873033,0.178055800873257,0.11976201021664
"16",0.506082672747872,0.518953744332866,0.192869201198302
"17",0.502433481361315,0.518509628172735,0.191689348492948
"18",0.216158912532164,0.207192161836527,0.127212078509552
"19",0.349923512102696,0.356646339507607,0.15478057972459
"20",0.189805283062099,0.172056600066469,0.130178381422399
"21",0.292669025507679,0.288291049346172,0.160268529255231
"22",0.453436381933601,0.458833230368836,0.147411130601029
"23",0.117654306877283,0.0961699093434531,0.0938175592410247
"24",0.137025417155398,0.117129987084244,0.101333646076252
"25",0.146613071269645,0.129681429168013,0.102149344048646
"26",0.0833463771331887,0.0666918590792161,0.0690495708404317
"27",0.0724772868252939,0.0555647623118685,0.0640888624064186
"28",0.093789855552094,0.0764203815325843,0.0760220776885525
"29",0.0997718139353193,0.0829399660651623,0.0797898292763479
"30",0.404389062368102,0.405633709413568,0.176292915457545
"31",0.25732748260172,0.250395555098075,0.140659402872036
